num_class_files,num_files_total,avg_class_name_length,suspicious_keywords,has_discord_webhook,entropy_score,func_111286_b,discòrd,requestv2,filename,label
1514,6860,48.98084544253633,452,0,4.420462338347733,0,0,0,OptiFine_1.21.4_HD_U_J3.jar,0
4996,5364,66.25800640512409,140,0,4.714085047471289,0,0,0,OdinClient-1.2.5.beta15.jar,0
439,572,71.66059225512528,14,0,3.9289666146656503,0,0,0,Patcher-1.8.9 (1.8.9).jar,0
